zpos i1 monitor
11.000 58427 20047
11.100 59822 20518
11.200 60856 20877
11.300 61984 21263
11.400 62258 21616
11.500 59669 21969
11.600 56553 21963
11.700 53602 21972
11.800 52679 21959
11.900 52595 21951
12.000 52348 21961
12.100 52090 21975
12.200 52109 21971
12.300 52157 21972
12.400 52386 21966
12.500 52657 21960
12.600 52838 21958
12.700 53985 21933
12.800 57162 21936
12.900 59975 21921
13.000 63438 21940
13.100 63847 21920
13.200 63929 21936
13.300 63837 21902
13.400 63885 21914
13.500 63819 21881
13.600 63930 21937
13.700 63881 21918
13.800 63784 21867
13.900 63751 21886
14.000 63783 21879
14.100 63812 21883
14.200 63810 21885
14.300 63819 21884
14.400 63887 21911
14.500 63778 21878
14.600 63798 21887
14.700 63768 21866
14.800 63698 21852
14.900 63740 21867
15.000 63776 21882
15.100 63621 21842
15.200 63671 21842
15.300 63613 21829
15.400 63697 21848
15.500 63673 21843
15.600 63715 21855
15.700 63667 21846
15.800 63795 21886
15.900 63675 21863
16.000 63655 21848
16.100 63631 21819
16.200 63690 21856
16.300 63665 21846
16.400 63599 21845
16.500 63689 21851
16.600 63655 21848
16.700 63653 21835
16.800 63688 21857
16.900 63589 21821
17.000 63675 21845
17.100 63665 21847
17.200 63631 21838
17.300 63720 21873
17.400 63638 21834
17.500 63677 21840
17.600 63645 21837
17.700 63619 21830
17.800 63742 21856
17.900 63678 21839
18.000 63585 21825
18.100 63602 21814
18.200 63586 21828
18.300 63613 21824
18.400 61431 21829
18.500 59111 21839
18.600 57030 21825
18.700 55230 21827
18.800 55852 21836
18.900 56007 21808
19.000 56166 21832
19.100 56272 21830
19.200 56277 21823
19.300 56211 21806
19.400 55681 21780
19.500 55647 21779
19.600 57766 21789
19.700 59845 21771
19.800 62667 21767
19.900 63459 21795
20.000 63302 21727
20.100 63466 21770
20.200 63474 21773
20.300 63506 21798
20.400 63451 21757
20.500 63479 21763
20.600 63435 21776
20.700 63337 21738
20.800 63401 21743
20.900 63478 21767
21.000 63396 21760
21.100 63504 21783
21.200 63343 21738
21.300 63391 21745
21.400 63452 21758
21.500 63388 21744
21.600 63366 21739
21.700 63328 21737
21.800 63346 21741
21.900 63292 21725
22.000 63297 21709
22.100 63308 21716
22.200 63272 21724
22.300 63329 21729
22.400 63322 21726
22.500 63264 21722
22.600 63286 21713
22.700 63248 21708
22.800 63269 21714
22.900 63297 21731
23.000 63228 21694
23.100 63249 21702
23.200 63211 21696
23.300 63206 21706
23.400 63166 21683
23.500 63162 21678
23.600 63253 21702
23.700 63206 21684
23.800 63224 21689
23.900 63226 21702
24.000 63223 21699
24.100 63225 21687
24.200 63120 21668
24.300 63122 21676
24.400 63177 21684
24.500 63099 21664
24.600 63180 21695
24.700 63164 21676
24.800 63184 21702
24.900 63166 21681
25.000 63186 21690
25.100 63160 21680
25.200 63172 21689
25.300 62403 21678
25.400 60259 21670
25.500 58310 21663
25.600 56143 21629
25.700 55551 21638
25.800 55286 21627
25.900 55170 21639
26.000 55279 21643
26.100 55521 21616
26.200 55670 21631
26.300 57117 21612
26.400 59120 21598
26.500 61056 21628
26.600 62930 21649
26.700 62944 21590
26.800 62978 21609
26.900 62962 21605
27.000 62943 21618
27.100 62951 21611
27.200 62941 21602
27.300 62880 21594
27.400 62959 21595
27.500 62961 21595
27.600 62996 21618
27.700 62950 21600
27.800 62936 21586
27.900 62970 21610
28.000 63005 21594
28.100 62923 21603
28.200 62968 21609
28.300 62926 21600
28.400 62954 21599
28.500 63018 21622
28.600 62953 21604
28.700 62945 21596
28.800 62895 21595
28.900 63007 21601
29.000 62978 21619
29.100 62892 21598
29.200 62861 21592
29.300 62881 21575
29.400 62891 21592
29.500 62879 21581
29.600 62905 21590
29.700 62966 21615
29.800 62991 21604
29.900 62915 21603
30.000 62822 21564
30.100 62877 21585
30.200 62925 21582
30.300 62859 21595
30.400 62922 21596
30.500 62971 21605
30.600 62910 21588
30.700 62922 21577
30.800 62915 21589
30.900 62971 21616
31.000 62863 21584
31.100 62927 21595
31.200 62834 21568
31.300 62850 21575
31.400 62827 21558
31.500 62741 21543
31.600 62851 21571
31.700 62892 21589
31.800 62798 21559
31.900 62776 21542
32.000 62776 21569
32.100 62784 21554
32.200 62811 21563
32.300 62767 21550
32.400 61266 21532
32.500 59079 21527
32.600 57126 21541
32.700 54987 21548
32.800 54893 21504
32.900 54733 21514
33.000 54472 21526
33.100 54255 21492
33.200 54353 21489
33.300 54419 21463
33.400 54608 21484
33.500 54176 21469
33.600 56213 21492
33.700 58283 21461
33.800 60425 21480
33.900 62620 21491
34.000 62603 21484
34.100 62589 21480
34.200 62493 21474
34.300 62542 21461
34.400 62500 21462
34.500 62523 21464
34.600 62617 21481
34.700 62546 21482
34.800 62537 21459
34.900 62585 21472
35.000 62543 21476
35.100 62552 21470
35.200 62615 21490
35.300 62571 21488
35.400 62555 21477
35.500 62506 21463
35.600 62523 21463
35.700 62552 21486
35.800 62436 21445
35.900 62503 21456
36.000 62533 21473
36.100 62427 21434
36.200 62469 21455
36.300 62396 21420
36.400 62441 21432
36.500 62418 21429
36.600 62490 21428
36.700 62430 21425
36.800 62385 21416
36.900 62396 21407
37.000 62405 21415
37.100 62388 21402
37.200 62409 21419
37.300 62346 21419
37.400 62352 21400
37.500 62345 21390
37.600 62292 21393
37.700 62330 21384
37.800 62378 21404
37.900 62302 21386
38.000 62371 21418
38.100 62316 21392
38.200 62298 21377
38.300 62230 21384
38.400 62293 21382
38.500 62261 21361
38.600 62318 21393
38.700 62309 21389
38.800 62226 21365
38.900 62246 21362
39.000 62283 21386
39.100 62247 21358
39.200 62215 21355
39.300 62170 21340
39.400 62255 21370
39.500 61641 21357
39.600 59166 21361
39.700 56496 21365
39.800 53732 21379
39.900 52046 21355
40.000 51045 21354
40.100 50274 21343
40.200 49930 21357
40.300 50153 21338
40.400 50837 21350
40.500 51825 21311
40.600 52779 21333
40.700 55222 21334
40.800 57872 21319
40.900 60326 21345
41.000 62079 21320
41.100 62122 21344
41.200 62146 21327
41.300 61995 21283
41.400 62079 21325
41.500 62044 21289
41.600 62082 21307
41.700 62006 21283
41.800 62142 21328
41.900 62107 21321
42.000 62054 21301
42.100 62091 21307
42.200 62105 21309
42.300 62083 21310
42.400 62057 21307
42.500 62038 21283
42.600 62025 21297
42.700 61964 21278
42.800 61991 21288
42.900 61943 21276
43.000 61983 21273
43.100 61979 21266
43.200 61975 21280
43.300 61951 21256
43.400 61996 21293
43.500 61907 21243
43.600 61839 21227
43.700 61914 21244
43.800 61862 21234
43.900 61892 21236
44.000 61902 21249
44.100 61795 21221
44.200 61844 21227
44.300 61878 21250
44.400 61942 21263
44.500 61794 21199
44.600 61904 21246
44.700 61858 21242
44.800 61850 21231
44.900 61857 21234
45.000 61847 21232
45.100 61871 21228
45.200 61830 21220
45.300 61813 21226
45.400 61852 21220
45.500 61900 21244
45.600 61800 21220
45.700 61887 21236
45.800 61761 21213
45.900 61754 21189
46.000 61783 21211
46.100 61701 21194
46.200 61760 21210
46.300 61762 21192
46.400 61096 21218
46.500 57968 21188
46.600 55008 21153
46.700 52078 21171
46.800 50827 21171
46.900 50304 21152
47.000 49919 21145
47.100 49735 21139
47.200 49655 21139
47.300 49693 21111
47.400 49966 21141
47.500 50387 21150
47.600 50824 21123
47.700 51312 21135
47.800 54036 21119
47.900 56912 21148
48.000 59452 21128
48.100 61504 21111
48.200 61478 21090
48.300 61480 21118
48.400 61481 21115
48.500 61475 21106
48.600 61493 21111
48.700 61531 21115
48.800 61492 21103
48.900 61503 21105
49.000 61482 21105
49.100 61527 21127
49.200 61552 21139
49.300 61523 21134
49.400 61527 21109
49.500 61525 21120
49.600 61546 21108
49.700 61454 21099
49.800 61523 21130
49.900 61473 21099
50.000 61522 21116
50.100 61476 21115
50.200 61575 21121
50.300 61471 21089
50.400 61422 21093
50.500 61477 21103
50.600 61481 21094
50.700 61526 21118
50.800 61458 21093
50.900 61397 21065
51.000 61349 21069
51.100 61351 21078
51.200 61462 21085
51.300 61367 21067
51.400 61365 21059
51.500 61425 21081
51.600 61242 21030
51.700 61336 21050
51.800 61379 21075
51.900 61359 21077
52.000 61334 21069
52.100 61261 21045
52.200 61383 21080
52.300 61356 21062
52.400 61379 21066
52.500 61365 21054
